Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.43%,4.11%,4.41%,2.21%,1.37%,-4.26%,3.08%,.37%,6.01%,9.72%,5.22%,-2.49%,2.88%,6.85%,-12.43%,-3.53%,2.27%,8.48%,-2.51%,.47%,-3.5%,-6.92%,-4.56%,8.65%,5.09%,5.2%,4.79%,5.63%,5.09%,3.33%,5.28%,3.88%,4.85%,3.3%,4.11%,4.6%,4.2%,4.7%,4.4%,3.7%,4.%,4.5%,5.2%,5.6%,5.9%,6.4%,4.35%,9.15%,4.84%,7.9%,14.05%,9.29%,7.31%,2.86%,2.12%,3.37%,8.13%,6.2%,6.51%,.51%,5.08%,3.82%,2.94%
Gibraltar,GIB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,5.37%,2.32%,1.57%,5.25%,2.88%,7.92%,-3.35%,6.8%,-1.21%,2.6%,.61%,1.8%,1.3%,1.4%,5.%,3.11%,3.3%,6.31%,4.%,4.32%,2.61%,3.27%,5.04%,3.97%,4.61%,4.46%,5.18%,3.64%,3.81%,2.5%,3.66%,5.16%,1.25%,2.34%,3.%,1.19%,6.82%,4.13%,-1.12%,4.81%,5.61%,5.92%,3.95%,3.7%,3.83%,10.82%,10.3%,6.36%,5.62%,4.7%,5.58%,3.97%,6.74%
"Gambia, The",GMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,.%,9.58%,2.44%,6.15%,-.07%,.24%,9.25%,5.88%,12.39%,7.35%,3.44%,6.32%,-1.33%,6.27%,3.32%,-.76%,10.88%,3.54%,-.81%,4.09%,2.45%,4.48%,5.9%,3.56%,3.11%,3.38%,3.01%,.15%,.88%,2.22%,4.9%,3.5%,6.4%,5.5%,5.8%,-3.25%,6.87%,7.05%,-2.35%,-.56%,3.04%,6.26%,6.67%,5.91%,-8.13%,5.24%,2.87%,-1.41%,4.06%,1.94%,4.82%,7.23%,6.22%,.59%,5.26%,5.49%,4.8%
Guinea-Bissau,GNB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,-3.91%,6.37%,1.11%,4.56%,7.85%,4.94%,-7.17%,13.13%,1.99%,-15.95%,18.17%,4.2%,-3.4%,9.11%,4.17%,-.79%,2.9%,4.6%,6.1%,6.1%,5.1%,1.1%,2.1%,3.2%,4.4%,11.6%,6.5%,-22.45%,16.82%,1.1%,4.79%,3.65%,-.29%,1.17%,6.56%,2.67%,2.56%,4.52%,2.45%,5.61%,8.09%,-1.71%,3.26%,.96%,6.13%,5.31%,4.79%,3.76%,5.55%,1.5%,6.18%,4.61%,5.2%
Equatorial Guinea,GNQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.77%,2.2%,5.%,1.01%,12.91%,-2.33%,4.44%,2.66%,-1.23%,-1.76%,-1.02%,34.75%,11.03%,16.67%,17.49%,66.58%,149.97%,23.77%,25.66%,18.21%,63.38%,19.46%,13.96%,38.%,16.75%,7.7%,15.28%,17.8%,1.34%,-8.92%,6.52%,8.31%,-4.13%,.42%,-9.11%,-8.82%,-5.67%,-6.24%,-5.48%,-4.79%,.86%,3.22%,-5.09%
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,13.2%,.36%,11.84%,9.41%,10.77%,6.49%,5.67%,7.2%,11.56%,8.93%,7.84%,10.16%,8.09%,-6.44%,6.37%,6.85%,2.94%,7.25%,3.28%,.68%,-1.55%,-1.13%,-1.08%,2.01%,2.51%,.52%,-2.26%,4.29%,3.8%,.%,3.1%,.7%,-1.6%,2.%,2.1%,1.38%,3.6%,3.44%,2.66%,4.14%,4.65%,4.68%,5.8%,5.38%,1.18%,6.44%,3.51%,.06%,-4.12%,-5.69%,-9.88%,-8.33%,-2.27%,.79%,-.23%,-.03%,1.47%,2.06%,2.28%,-9.2%,8.65%,5.74%,2.33%
Grenada,GRD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,5.34%,5.6%,-.53%,1.53%,4.12%,3.63%,3.57%,5.98%,7.19%,9.1%,2.97%,3.77%,4.01%,1.39%,-.85%,-1.96%,1.69%,2.13%,4.44%,5.02%,11.75%,6.9%,4.89%,-2.02%,3.44%,9.46%,-.65%,13.28%,-4.%,6.12%,.95%,-6.61%,-.51%,.76%,-1.15%,2.35%,7.34%,6.45%,3.74%,4.44%,4.36%,.68%,-13.76%,4.69%,7.32%,3.57%
Greenland,GRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,13.06%,6.18%,6.81%,5.71%,.65%,5.96%,8.82%,6.02%,4.86%,8.68%,.67%,-4.42%,3.46%,-5.18%,3.66%,7.1%,5.52%,5.6%,6.66%,-11.72%,-.11%,-5.11%,-5.03%,5.92%,3.73%,1.53%,1.47%,7.76%,1.38%,7.1%,1.27%,-.97%,4.43%,6.91%,4.99%,5.56%,2.35%,6.17%,.87%,1.74%,-.5%,1.39%,-1.3%,4.74%,-2.53%,4.68%,.05%,.62%,2.83%,.19%,1.29%,,
Guatemala,GTM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.3%,3.54%,9.54%,4.63%,4.36%,5.51%,4.11%,8.77%,4.74%,5.71%,5.58%,7.33%,6.78%,6.38%,1.95%,7.39%,7.81%,5.%,4.71%,3.76%,.65%,-3.53%,-2.57%,.5%,-.61%,.14%,3.54%,3.89%,3.94%,3.1%,3.66%,4.84%,3.93%,4.03%,4.95%,2.96%,4.36%,4.99%,3.85%,3.61%,2.33%,3.84%,2.56%,3.14%,3.28%,5.35%,6.34%,3.29%,.48%,2.88%,4.16%,2.97%,3.69%,4.44%,4.09%,2.68%,3.08%,3.41%,4.02%,-1.79%,8.03%,4.2%,3.53%
Guam,GUM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.88%,6.49%,3.64%,-3.65%,.72%,2.03%,.44%,2.26%,.08%,2.13%,1.69%,1.79%,.83%,.18%,.89%,-.83%,2.52%,-10.52%,2.06%,5.1%,
Guyana,GUY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.69%,1.1%,-12.28%,11.36%,10.54%,5.23%,4.31%,1.02%,6.99%,4.26%,3.11%,-3.32%,1.24%,7.7%,8.48%,1.54%,-2.64%,-1.81%,-1.84%,1.73%,1.5%,-13.19%,-6.79%,-5.03%,2.4%,-.9%,.9%,-3.69%,-4.92%,-3.07%,6.06%,7.76%,8.18%,8.53%,5.03%,7.96%,6.18%,-1.68%,2.96%,-1.36%,2.28%,1.13%,-.63%,1.56%,-1.95%,5.13%,7.19%,1.76%,3.61%,4.14%,5.2%,5.28%,3.65%,1.69%,.69%,3.81%,3.73%,4.44%,5.35%,43.48%,20.06%,63.33%,33.8%
High income,HIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.46%,5.61%,5.05%,6.36%,5.53%,5.52%,3.82%,5.9%,5.62%,3.04%,3.93%,5.5%,6.32%,1.17%,-.15%,4.97%,3.89%,4.26%,4.1%,1.3%,1.95%,-.18%,2.86%,4.68%,3.55%,3.13%,3.55%,4.66%,3.88%,2.63%,.85%,1.51%,1.09%,2.91%,2.73%,2.91%,3.51%,2.72%,3.58%,4.26%,1.59%,1.64%,2.29%,3.52%,2.99%,3.25%,2.86%,.67%,-3.36%,3.03%,2.03%,1.45%,1.61%,2.15%,2.34%,1.82%,2.46%,2.36%,1.91%,-3.87%,5.78%,2.9%,1.78%
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,14.29%,15.76%,8.63%,14.64%,1.79%,1.6%,3.4%,11.34%,9.21%,7.29%,10.61%,12.28%,2.42%,.49%,16.16%,11.73%,8.26%,11.56%,10.11%,9.26%,2.95%,5.98%,9.97%,.76%,11.06%,13.4%,8.51%,2.28%,3.83%,5.7%,6.23%,6.2%,6.04%,2.37%,4.26%,5.1%,-5.88%,2.51%,7.66%,.56%,1.66%,3.06%,8.7%,7.39%,7.03%,6.46%,2.13%,-2.46%,6.77%,4.81%,1.7%,3.1%,2.76%,2.39%,2.18%,3.8%,2.85%,-1.67%,-6.54%,6.45%,-3.68%,3.28%
Honduras,HND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.86%,5.76%,3.58%,5.42%,9.04%,5.37%,5.98%,6.6%,.66%,3.63%,4.%,5.76%,7.87%,-1.23%,2.13%,10.5%,10.38%,5.97%,5.61%,.6%,-1.22%,-2.07%,.91%,6.33%,5.63%,5.33%,6.64%,1.75%,2.73%,2.79%,-3.32%,6.07%,6.5%,.21%,6.19%,1.87%,4.6%,3.59%,-.74%,7.29%,2.72%,3.75%,4.55%,6.23%,6.05%,6.57%,6.19%,4.23%,-2.43%,3.73%,3.84%,4.13%,2.79%,3.06%,3.84%,3.89%,4.84%,3.84%,2.56%,-8.97%,12.57%,4.14%,3.58%
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-.14%,7.23%,3.39%,3.43%,3.95%,3.9%,2.42%,4.56%,4.54%,.06%,4.56%,2.13%,3.25%,5.21%,2.02%,3.86%,3.58%,2.54%,.63%,.64%,2.86%,.59%,.33%,1.25%,1.47%,3.12%,3.3%,1.25%,1.49%,-1.05%,.45%,-1.21%,.47%,-.15%,4.95%,5.11%,5.55%,3.5%,3.11%,2.89%,3.59%,3.87%,3.9%,5.66%,5.56%,5.86%,5.47%,5.64%,3.73%,6.1%,4.46%,4.01%,5.84%,5.85%,4.69%,4.45%,5.04%,4.18%,4.42%,.23%,4.27%,4.81%,3.98%
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.09%,-11.71%,-8.03%,5.87%,6.76%,6.11%,6.17%,2.25%,-.85%,2.95%,3.11%,5.8%,5.57%,4.17%,4.33%,5.08%,5.05%,1.97%,-6.81%,-1.33%,-.1%,-2.25%,-.13%,-.56%,2.32%,3.46%,3.28%,2.9%,3.1%,-8.31%,12.63%,7.29%,3.3%
Haiti,HTI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-2.93%,7.89%,-1.89%,-1.65%,2.16%,-.58%,-2.12%,3.18%,3.81%,.65%,6.48%,.98%,4.76%,5.78%,1.12%,8.44%,3.71%,6.21%,7.56%,7.37%,-2.85%,-3.56%,.91%,.3%,.6%,-.5%,-.79%,.2%,-2.91%,1.04%,1.88%,-5.31%,-5.43%,-11.95%,9.9%,4.14%,2.7%,2.18%,2.71%,.87%,-.34%,1.05%,3.48%,-1.32%,3.07%,1.77%,4.71%,2.66%,5.89%,-5.65%,5.1%,.5%,4.32%,2.89%,1.4%,1.81%,2.51%,1.67%,-1.72%,-3.31%,-1.8%,-1.68%,-1.86%
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.7%,6.1%,5.7%,4.7%,42.41%,7.4%,7.5%,4.9%,6.9%,4.7%,6.2%,6.1%,6.9%,5.9%,6.2%,3.6%,7.6%,4.4%,2.7%,.2%,2.87%,2.84%,.72%,2.66%,-.25%,1.53%,4.05%,-.07%,.74%,-3.5%,-11.89%,-3.06%,-.58%,2.95%,1.49%,.08%,3.14%,3.9%,3.07%,4.48%,4.07%,4.74%,4.07%,5.%,4.29%,3.95%,.28%,1.%,-6.6%,1.08%,1.87%,-1.25%,1.8%,4.23%,3.71%,2.2%,4.27%,5.36%,4.86%,-4.49%,7.06%,4.58%,-.91%
IBRD only,IBD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.18%,3.11%,4.73%,8.2%,6.21%,5.62%,4.13%,6.35%,7.9%,7.71%,6.12%,6.67%,7.05%,5.77%,4.66%,6.3%,4.66%,4.09%,4.83%,5.07%,2.18%,2.87%,1.7%,4.92%,4.45%,3.85%,4.87%,4.03%,3.19%,1.95%,1.14%,1.56%,3.71%,3.61%,4.01%,5.46%,5.36%,2.67%,3.74%,5.9%,3.62%,4.57%,5.94%,7.63%,7.18%,8.3%,8.95%,5.91%,2.78%,7.82%,6.38%,5.45%,5.21%,4.81%,4.39%,4.56%,5.24%,4.94%,3.97%,-1.33%,7.54%,3.56%,4.57%
IDA & IBRD total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.18%,3.56%,4.76%,7.67%,5.94%,5.03%,3.19%,6.03%,8.05%,7.78%,6.15%,5.98%,6.66%,5.98%,3.98%,6.19%,4.58%,3.73%,4.66%,4.87%,1.86%,2.52%,1.4%,4.54%,4.42%,3.76%,4.74%,4.11%,3.08%,2.12%,1.21%,1.61%,3.45%,3.37%,3.97%,5.4%,5.22%,2.74%,3.67%,5.73%,3.66%,4.65%,5.86%,7.55%,7.1%,8.11%,8.7%,5.84%,2.97%,7.69%,6.2%,5.28%,5.22%,4.86%,4.31%,4.46%,5.15%,4.9%,3.97%,-1.29%,7.31%,3.62%,4.46%
IDA total,IDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.2%,5.92%,4.87%,4.92%,4.52%,1.78%,-2.2%,4.05%,8.95%,8.21%,6.36%,1.83%,4.18%,7.33%,-.43%,5.49%,4.03%,1.24%,3.49%,3.49%,-.48%,-.13%,-.87%,1.65%,4.12%,3.02%,3.68%,4.71%,2.26%,3.83%,1.91%,2.12%,.95%,.95%,3.57%,4.83%,3.76%,3.44%,2.91%,3.94%,4.02%,5.46%,4.93%,6.69%,6.19%,6.08%,5.93%,5.04%,5.1%,6.18%,4.19%,3.42%,5.3%,5.49%,3.37%,3.25%,3.97%,4.34%,3.98%,-.86%,4.46%,4.31%,3.17%
IDA blend,IDB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.4%,4.36%,7.94%,5.23%,5.8%,.%,-7.55%,2.44%,15.59%,17.74%,10.53%,4.03%,5.64%,8.47%,-1.95%,6.36%,5.27%,-.41%,5.86%,5.45%,-3.98%,-1.05%,-2.89%,1.68%,6.1%,2.94%,3.82%,6.43%,3.16%,6.43%,2.04%,3.08%,-.22%,.93%,2.03%,4.6%,2.02%,2.7%,2.09%,3.78%,4.36%,6.94%,5.03%,7.59%,6.2%,5.85%,5.61%,4.15%,5.96%,5.93%,4.6%,4.37%,5.5%,5.58%,3.7%,2.06%,2.55%,3.82%,2.84%,-1.52%,5.17%,4.26%,2.53%
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.74%,1.84%,-2.24%,3.53%,1.08%,2.79%,1.38%,10.92%,6.82%,7.55%,7.02%,7.04%,8.1%,7.63%,4.98%,6.89%,8.76%,6.77%,7.32%,9.88%,7.93%,2.25%,4.19%,6.98%,2.46%,5.88%,4.93%,5.78%,7.46%,7.24%,6.91%,6.5%,6.5%,7.54%,8.22%,7.82%,4.7%,-13.13%,.79%,4.92%,3.64%,4.5%,4.78%,5.03%,5.69%,5.5%,6.35%,6.01%,4.63%,6.22%,6.17%,6.03%,5.56%,5.01%,4.88%,5.03%,5.07%,5.17%,5.02%,-2.07%,3.7%,5.31%,5.05%
IDA only,IDX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,7.14%,2.55%,4.67%,3.49%,3.24%,2.05%,5.2%,4.35%,.9%,2.68%,-.25%,2.74%,6.16%,1.16%,4.63%,2.78%,2.94%,1.13%,1.44%,3.27%,.8%,1.05%,1.62%,2.31%,3.08%,3.55%,2.97%,1.32%,1.09%,1.77%,1.12%,2.18%,.97%,5.16%,5.07%,5.49%,4.15%,3.69%,4.1%,3.71%,4.09%,4.84%,5.83%,6.18%,6.31%,6.24%,5.89%,4.31%,6.41%,3.81%,2.52%,5.12%,5.39%,3.05%,4.4%,5.31%,4.82%,5.02%,-.28%,3.84%,4.36%,3.75%
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,.42%,19.11%,9.9%,11.83%,6.85%,4.19%,1.6%,.8%,2.6%,4.%,4.3%,7.7%,8.6%,13.5%,13.7%,5.3%,5.4%,6.2%,6.%,5.2%,5.9%,7.7%,7.5%,4.9%,2.1%,3.4%,2.%,7.3%,4.14%,5.16%,-.39%,6.95%,2.84%,2.21%,.25%,-8.84%,3.84%,,
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.72%,2.93%,5.99%,7.45%,-2.64%,-.06%,7.83%,3.39%,6.54%,5.16%,1.64%,-.55%,3.3%,1.19%,9.15%,1.66%,7.25%,5.71%,-5.24%,6.74%,6.01%,3.48%,7.29%,3.82%,5.25%,4.78%,3.97%,9.63%,5.95%,5.53%,1.06%,5.48%,4.75%,6.66%,7.57%,7.55%,4.05%,6.18%,8.85%,3.84%,4.82%,3.8%,7.86%,7.92%,7.92%,8.06%,7.66%,3.09%,7.86%,8.5%,5.24%,5.46%,6.39%,7.41%,8.%,8.26%,6.8%,6.45%,3.87%,-5.78%,9.69%,6.99%,8.15%
Not classified,INX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.02%,3.22%,4.74%,3.79%,1.93%,.89%,5.79%,8.24%,5.86%,2.66%,3.47%,6.49%,4.72%,4.26%,5.66%,1.39%,8.21%,7.19%,3.07%,3.08%,3.33%,2.28%,-.24%,4.35%,3.09%,-.43%,4.66%,5.22%,5.81%,8.47%,1.93%,3.34%,2.69%,5.76%,9.63%,7.38%,11.02%,8.77%,10.53%,9.4%,5.31%,5.9%,3.01%,6.79%,5.74%,4.99%,5.31%,-4.48%,-5.1%,1.68%,1.65%,-.4%,2.19%,9.34%,24.62%,1.22%,10.05%,7.54%,5.04%,7.16%,16.26%,8.62%,-5.53%
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.39%,7.91%,7.04%,8.48%,17.04%,11.5%,11.25%,14.4%,15.52%,10.93%,13.7%,14.5%,7.44%,5.8%,-.33%,18.26%,-2.77%,-12.84%,-12.02%,-21.6%,-5.7%,23.17%,11.09%,-7.14%,1.87%,-9.78%,-.17%,-6.08%,6.13%,13.59%,12.72%,3.3%,-1.47%,-1.7%,2.4%,6.35%,1.35%,2.08%,2.%,5.85%,2.39%,8.08%,8.64%,4.34%,3.19%,5.%,8.16%,.25%,1.01%,5.8%,2.65%,-3.75%,-1.52%,4.98%,-1.42%,8.82%,2.76%,-1.84%,-3.07%,3.33%,4.72%,3.78%,5.04%
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.33%,4.6%,2.45%,14.83%,10.76%,4.96%,-8.86%,19.51%,3.24%,4.54%,5.37%,3.74%,4.42%,16.11%,12.49%,17.18%,1.9%,17.06%,20.87%,24.75%,-.73%,3.43%,-13.07%,-1.49%,1.45%,4.65%,9.31%,-.02%,-3.12%,57.82%,-64.05%,32.59%,30.29%,3.85%,2.12%,11.02%,21.24%,35.%,17.58%,16.8%,1.77%,-8.2%,-36.66%,53.39%,1.68%,5.64%,1.89%,8.23%,3.38%,6.4%,7.55%,13.94%,7.63%,2.26%,2.61%,13.79%,-1.82%,2.63%,5.51%,-12.04%,1.5%,7.64%,-2.94%
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-.07%,8.31%,10.28%,9.88%,7.3%,8.75%,-1.26%,-5.5%,2.39%,7.46%,13.06%,6.18%,6.81%,5.71%,.65%,5.96%,8.82%,6.02%,4.86%,5.75%,4.27%,2.15%,-2.15%,4.13%,3.29%,6.27%,8.55%,-.09%,.26%,1.17%,-.22%,-3.37%,1.31%,3.61%,.12%,4.57%,5.77%,7.36%,4.03%,4.99%,4.01%,.56%,2.14%,7.8%,6.12%,6.32%,8.45%,2.21%,-7.66%,-2.83%,1.85%,1.06%,4.55%,1.69%,4.44%,6.3%,4.19%,4.89%,1.86%,-6.94%,5.25%,8.99%,5.04%
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,11.2%,10.16%,10.7%,7.94%,9.%,-.08%,3.%,16.24%,13.57%,7.31%,10.95%,12.15%,5.59%,6.48%,3.24%,.32%,1.04%,5.56%,6.21%,1.67%,5.34%,2.08%,3.36%,.93%,4.04%,4.19%,7.14%,2.91%,.57%,7.32%,7.73%,7.76%,4.12%,7.43%,6.6%,5.87%,3.75%,4.06%,3.32%,8.63%,.17%,-.12%,1.47%,4.68%,4.22%,5.58%,6.02%,3.29%,1.11%,5.63%,5.56%,2.54%,4.23%,3.89%,2.31%,4.37%,4.27%,4.07%,3.79%,-1.46%,9.34%,6.47%,2.42%
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.21%,6.2%,5.61%,2.8%,3.27%,5.98%,7.18%,6.54%,6.1%,5.31%,1.82%,3.69%,7.13%,5.5%,-2.09%,7.13%,2.56%,3.24%,5.96%,3.43%,.84%,.41%,1.17%,3.23%,2.8%,2.86%,3.19%,4.19%,3.39%,1.99%,1.54%,.83%,-.85%,2.15%,2.89%,1.35%,1.93%,1.8%,1.68%,3.88%,2.01%,.27%,.07%,1.47%,.76%,1.8%,1.46%,-1.02%,-5.31%,1.53%,.7%,-3.13%,-1.82%,.%,.89%,1.24%,1.6%,.83%,.43%,-8.87%,8.93%,4.66%,.7%
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,1.81%,5.74%,5.57%,12.06%,2.46%,18.01%,-5.49%,-4.23%,-.26%,-6.69%,-2.6%,-.05%,-1.06%,-5.71%,2.64%,2.07%,1.91%,-1.54%,-2.94%,1.88%,7.85%,3.97%,7.17%,4.2%,4.84%,1.96%,9.42%,1.38%,2.35%,-.11%,-1.14%,-2.33%,1.05%,.88%,1.34%,2.%,3.67%,1.32%,.89%,2.9%,1.43%,-.81%,-4.35%,-1.46%,1.73%,-.61%,.52%,.69%,.92%,1.38%,1.%,1.89%,.89%,-9.92%,4.6%,5.22%,2.2%
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,8.3%,14.68%,20.8%,11.18%,17.18%,7.03%,-2.22%,4.29%,-2.71%,5.5%,2.32%,1.46%,-10.73%,-.28%,1.61%,14.35%,4.49%,4.97%,6.2%,2.09%,3.31%,3.01%,3.39%,4.25%,5.27%,5.78%,4.16%,8.57%,8.15%,8.09%,8.18%,7.22%,5.02%,2.31%,2.74%,2.43%,2.61%,3.38%,2.5%,1.99%,2.47%,1.92%,1.75%,-1.1%,3.66%,2.65%,2.68%
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,12.04%,8.91%,8.47%,11.68%,5.82%,10.64%,11.08%,12.88%,12.48%,.4%,4.7%,8.41%,8.03%,-1.23%,3.09%,3.97%,4.39%,5.27%,5.48%,2.82%,4.26%,3.28%,3.63%,4.41%,5.16%,3.29%,4.65%,6.66%,4.93%,4.84%,3.52%,.9%,-.46%,1.08%,2.63%,3.13%,.98%,-1.27%,-.33%,2.76%,.39%,.04%,1.54%,2.19%,1.8%,1.37%,1.48%,-1.22%,-5.69%,4.1%,.02%,1.37%,2.01%,.3%,1.56%,.75%,1.68%,.64%,-.4%,-4.15%,2.56%,.95%,1.68%
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.%,-5.3%,-9.2%,-12.6%,-8.2%,.5%,1.7%,-1.9%,2.7%,9.8%,13.5%,9.8%,9.3%,9.6%,9.7%,10.7%,8.9%,3.3%,1.2%,7.3%,7.4%,4.8%,6.%,4.2%,1.2%,1.1%,4.1%,4.1%,4.5%,-2.5%,4.3%,3.2%,5.1%
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-7.77%,9.46%,8.78%,4.96%,2.01%,14.73%,3.36%,7.98%,7.96%,-4.66%,22.17%,17.08%,5.9%,4.07%,.88%,2.15%,9.45%,6.91%,7.62%,5.59%,3.77%,1.51%,1.31%,1.76%,4.3%,7.18%,5.94%,6.2%,4.69%,4.19%,1.44%,-.8%,.35%,2.63%,4.41%,4.15%,.47%,3.29%,2.31%,.6%,3.78%,.55%,2.93%,5.1%,5.91%,6.47%,6.85%,.23%,3.31%,8.06%,5.12%,4.57%,3.8%,5.02%,4.97%,4.21%,3.84%,5.65%,5.11%,-.27%,7.59%,4.86%,5.56%
Kyrgyz Republic,KGZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3%,13.2%,2.79%,5.7%,-7.94%,-13.84%,-15.46%,-20.09%,-5.42%,7.08%,9.92%,2.12%,3.66%,5.44%,5.32%,-.02%,7.03%,7.03%,-.18%,3.1%,8.54%,8.4%,2.89%,-.47%,5.96%,-.09%,10.92%,4.02%,3.88%,4.34%,4.74%,3.76%,4.6%,-7.15%,5.51%,8.97%,6.15%
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,.%,-14.68%,.%,-12.83%,-5.67%,.04%,.%,4.43%,4.93%,4.67%,3.8%,21.53%,11.98%,3.48%,1.16%,7.59%,7.02%,4.1%,-34.81%,9.9%,5.9%,4.01%,4.68%,12.71%,9.99%,7.39%,6.27%,10.28%,9.46%,13.3%,10.94%,10.4%,7.48%,4.07%,5.08%,7.29%,7.65%,7.86%,8.%,7.21%,7.91%,8.08%,8.78%,7.94%,-3.56%,3.09%,5.1%,4.96%
Kiribati,KIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,-2.29%,12.08%,20.91%,45.3%,5.34%,-26.77%,-4.61%,1.06%,-11.58%,-1.08%,6.12%,-1.09%,-9.78%,13.92%,-13.24%,-2.47%,1.29%,22.05%,-7.29%,-6.39%,-5.65%,23.96%,-.1%,2.05%,2.75%,-.05%,1.18%,4.44%,-3.91%,6.74%,-3.14%,1.45%,-1.58%,-.61%,1.29%,5.78%,3.06%,-2.98%,.54%,1.23%,3.26%,5.8%,7.73%,1.26%,11.27%,7.09%,3.75%,3.48%,3.26%,-.56%,8.52%,3.91%,4.12%
